Followers,Average_Likes,Average_Comments,Average_Engagement_Rate,Engagement_Rate_(60_Days),Posting_frequency_(last_60_days),Posts_(image),Posts_(videos),Posts_(carousel),Average_Hashtags_/_Post_(60_Days)
117539,3601.42,40.02,3.0981,0.0,0.0,0.0,0.0,0.0,0.0
20792,14.59,0.54,0.0728,0.0,0.0,0.0,0.0,0.0,0.0
22516,269.44,2.99,1.21,0.0,0.0,0.0,0.0,0.0,0.0
26886,636.56,40.56,2.5185,3.4345,5.0,0.0,2.0,3.0,20.6
22467,9.04,0.01,0.0403,0.0,0.0,0.0,0.0,0.0,0.0
43087,3200.72,32.47,7.5039,8.3035,14.0,0.0,10.0,4.0,0.143
17951,281.46,20.43,1.6817,1.3158,39.0,3.0,26.0,10.0,2.872
13556,374.7,25.7,2.9537,0.0,0.0,0.0,0.0,0.0,0.0
20769,198.51,10.49,1.0063,0.5824,57.0,1.0,55.0,1.0,8.386
53513,173.32,25.78,0.3721,0.4071,7.0,1.0,3.0,3.0,0.0
11601,1321.47,10.34,11.4801,0.0,0.0,0.0,0.0,0.0,0.0
13657,937.05,18.73,6.9984,0.0,0.0,0.0,0.0,0.0,0.0
16524,547.15,29.53,3.4899,0.8485,15.0,0.0,11.0,4.0,0.533
9941,448.89,7.93,4.5953,0.0,0.0,0.0,0.0,0.0,0.0
97912,2040.73,9.68,2.0941,0.8379,5.0,0.0,4.0,1.0,6.4
9867,40.38,2.62,0.4358,0.5741,20.0,2.0,13.0,5.0,10.05
16024,283.58,5.67,1.8051,5.2043,15.0,3.0,6.0,6.0,12.333
71937,2569.31,14.56,3.5919,4.0438,1.0,0.0,0.0,1.0,31.0
86507,4112.52,21.93,4.779,5.229,21.0,1.0,4.0,16.0,0.0
165908,1496.54,1.96,0.9032,1.0862,58.0,0.0,13.0,45.0,16.897
157687,456.82,7.26,0.2943,0.1668,25.0,13.0,4.0,8.0,3.92
369888,2154.35,27.84,0.59,0.3956,112.0,37.0,40.0,35.0,3.402
686190,25117.25,1271.12,3.8456,4.159,274.0,201.0,5.0,68.0,0.215
220647,4401.4,62.63,2.0232,1.9513,4.0,1.0,1.0,2.0,0.75
199534,11105.23,58.54,5.5949,17.0256,22.0,0.0,21.0,1.0,4.409
108617,997.47,71.32,0.984,1.3432,164.0,86.0,1.0,77.0,28.976
107826,1793.44,34.16,1.695,0.6353,19.0,4.0,11.0,4.0,0.0
129120,2523.77,152.56,2.0727,2.0338,130.0,34.0,55.0,41.0,0.015
285867,6212.72,97.54,2.2074,3.3566,36.0,0.0,36.0,0.0,1.611
287094,209.01,8.12,0.0756,0.0316,163.0,36.0,11.0,116.0,0.0
217645,2684.79,80.62,1.2706,1.0799,22.0,4.0,6.0,12.0,2.636
304749,54763.36,679.49,18.193,15.5973,4.0,2.0,1.0,1.0,2.0
957549,24031.21,572.74,2.5695,0.8432,60.0,1.0,59.0,0.0,1.45
133918,1490.99,13.13,1.1232,3.7659,145.0,57.0,68.0,20.0,3.717
129736,14006.75,142.45,3.2192,3.4801,29.0,0.0,29.0,0.0,1.655
439530,43744.83,742.01,10.1215,0.0228,4.0,4.0,0.0,0.0,0.0
275651,3391.03,241.17,1.3177,0.7241,121.0,14.0,48.0,59.0,10.413
575202,595.51,41.29,0.1107,0.651,98.0,7.0,49.0,42.0,3.551
167819,25139.44,147.81,15.0682,12.3304,88.0,2.0,82.0,4.0,0.068
314574,3777.76,104.7,1.2342,0.3001,31.0,1.0,20.0,10.0,1.194
342928,3867.89,88.39,1.1537,0.138,29.0,4.0,20.0,5.0,3.621
698886,28352.84,202.87,4.0859,1.5917,21.0,0.0,16.0,5.0,4.667
414202,7656.65,109.8,1.875,1.6252,46.0,0.0,39.0,7.0,0.13
